_id,service_id,flight_id,service_type,service_time,status
685abfcf0f1531c3d1c7511b,S00039,FL00013,Boarding,2023-05-11T05:00:00,Cancelled
685abfcf0f1531c3d1c7511c,S00040,FL00014,Security Check,2023-01-06T18:00:00,Cancelled
685abfcf0f1531c3d1c7511d,S00041,FL00014,Baggage Handling,2023-01-06T16:00:00,In Progress
685abfcf0f1531c3d1c7511e,S00042,FL00014,Boarding,2023-01-06T19:00:00,Completed
685abfcf0f1531c3d1c7511f,S00043,FL00015,Security Check,2023-03-18T19:00:00,In Progress
685abfcf0f1531c3d1c75120,S00044,FL00015,Baggage Handling,2023-03-18T17:00:00,Completed
685abfcf0f1531c3d1c75121,S00045,FL00015,Boarding,2023-03-18T16:00:00,In Progress
685abfcf0f1531c3d1c75122,S00046,FL00016,Security Check,2023-02-07T02:00:00,In Progress
685abfcf0f1531c3d1c75123,S00047,FL00016,Baggage Handling,2023-02-07T00:00:00,In Progress
685abfcf0f1531c3d1c75124,S00048,FL00016,Boarding,2023-02-07T02:00:00,Cancelled
685abfcf0f1531c3d1c75125,S00049,FL00017,Security Check,2023-01-14T16:00:00,In Progress
685abfcf0f1531c3d1c75126,S00050,FL00017,Baggage Handling,2023-01-14T17:00:00,Completed
685abfcf0f1531c3d1c75127,S00051,FL00017,Boarding,2023-01-14T19:00:00,In Progress
685abfcf0f1531c3d1c75128,S00052,FL00018,Security Check,2023-04-08T11:00:00,Cancelled
685abfcf0f1531c3d1c75129,S00053,FL00018,Baggage Handling,2023-04-08T13:00:00,In Progress
685abfcf0f1531c3d1c7512a,S00054,FL00018,Boarding,2023-04-08T13:00:00,Completed
685abfcf0f1531c3d1c7512b,S00055,FL00019,Security Check,2023-09-07T13:00:00,Cancelled
685abfcf0f1531c3d1c7512c,S00056,FL00019,Baggage Handling,2023-09-07T13:00:00,Completed
685abfcf0f1531c3d1c7512d,S00057,FL00019,Boarding,2023-09-07T12:00:00,Completed
685abfcf0f1531c3d1c7512e,S00058,FL00020,Security Check,2023-05-07T20:00:00,In Progress
685abfcf0f1531c3d1c7512f,S00059,FL00020,Baggage Handling,2023-05-07T23:00:00,In Progress
685abfcf0f1531c3d1c75130,S00060,FL00020,Boarding,2023-05-07T21:00:00,Completed
685abfcf0f1531c3d1c75131,S00061,FL00021,Security Check,2023-04-07T19:00:00,Completed
685abfcf0f1531c3d1c75132,S00062,FL00021,Baggage Handling,2023-04-07T19:00:00,In Progress
685abfcf0f1531c3d1c75133,S00063,FL00021,Boarding,2023-04-07T20:00:00,Cancelled
685abfcf0f1531c3d1c75134,S00064,FL00022,Security Check,2023-09-13T20:00:00,In Progress
685abfcf0f1531c3d1c75135,S00065,FL00022,Baggage Handling,2023-09-13T19:00:00,Completed
685abfcf0f1531c3d1c75136,S00066,FL00022,Boarding,2023-09-13T17:00:00,In Progress
685abfcf0f1531c3d1c75137,S00067,FL00023,Security Check,2023-10-20T13:00:00,Completed
685abfcf0f1531c3d1c75138,S00068,FL00023,Baggage Handling,2023-10-20T15:00:00,Completed
685abfcf0f1531c3d1c75139,S00069,FL00023,Boarding,2023-10-20T14:00:00,Cancelled
685abfcf0f1531c3d1c7513a,S00070,FL00024,Security Check,2023-01-17T04:00:00,Completed
685abfcf0f1531c3d1c7513b,S00071,FL00024,Baggage Handling,2023-01-17T06:00:00,Completed
685abfcf0f1531c3d1c7513c,S00072,FL00024,Boarding,2023-01-17T05:00:00,In Progress
685abfcf0f1531c3d1c7513d,S00073,FL00025,Security Check,2023-12-04T22:00:00,Cancelled
685abfcf0f1531c3d1c7513e,S00074,FL00025,Baggage Handling,2023-12-04T22:00:00,In Progress
685abfcf0f1531c3d1c7513f,S00075,FL00025,Boarding,2023-12-05T00:00:00,Cancelled
685abfcf0f1531c3d1c75140,S00076,FL00026,Security Check,2023-02-04T14:00:00,Cancelled
685abfcf0f1531c3d1c75141,S00077,FL00026,Baggage Handling,2023-02-04T12:00:00,In Progress
685abfcf0f1531c3d1c75142,S00078,FL00026,Boarding,2023-02-04T11:00:00,In Progress
685abfcf0f1531c3d1c75143,S00079,FL00027,Security Check,2023-05-29T02:00:00,In Progress
685abfcf0f1531c3d1c75144,S00080,FL00027,Baggage Handling,2023-05-29T00:00:00,Completed
685abfcf0f1531c3d1c75145,S00081,FL00027,Boarding,2023-05-29T01:00:00,Completed
685abfcf0f1531c3d1c75146,S00082,FL00028,Security Check,2023-07-24T10:00:00,Cancelled
685abfcf0f1531c3d1c75147,S00083,FL00028,Baggage Handling,2023-07-24T13:00:00,In Progress
685abfcf0f1531c3d1c75148,S00084,FL00028,Boarding,2023-07-24T10:00:00,In Progress
685abfcf0f1531c3d1c75149,S00085,FL00029,Security Check,2023-09-08T03:00:00,Completed
685abfcf0f1531c3d1c7514a,S00086,FL00029,Baggage Handling,2023-09-08T03:00:00,Cancelled
685abfcf0f1531c3d1c7514b,S00087,FL00029,Boarding,2023-09-08T04:00:00,Completed
685abfcf0f1531c3d1c7514c,S00088,FL00030,Security Check,2023-12-05T12:00:00,Cancelled
685abfcf0f1531c3d1c7514d,S00089,FL00030,Baggage Handling,2023-12-05T11:00:00,Cancelled
685abfcf0f1531c3d1c7514e,S00090,FL00030,Boarding,2023-12-05T11:00:00,Completed
685abfcf0f1531c3d1c7514f,S00091,FL00031,Security Check,2023-11-11T11:00:00,In Progress
685abfcf0f1531c3d1c75150,S00092,FL00031,Baggage Handling,2023-11-11T11:00:00,Completed
685abfcf0f1531c3d1c75151,S00093,FL00031,Boarding,2023-11-11T08:00:00,Completed
685abfcf0f1531c3d1c75152,S00094,FL00032,Security Check,2023-08-06T12:00:00,Completed
685abfcf0f1531c3d1c75153,S00095,FL00032,Baggage Handling,2023-08-06T10:00:00,Cancelled
685abfcf0f1531c3d1c75154,S00096,FL00032,Boarding,2023-08-06T12:00:00,Completed
685abfcf0f1531c3d1c75155,S00097,FL00033,Security Check,2023-07-22T00:00:00,In Progress
685abfcf0f1531c3d1c75156,S00098,FL00033,Baggage Handling,2023-07-22T02:00:00,In Progress
685abfcf0f1531c3d1c75157,S00099,FL00033,Boarding,2023-07-22T02:00:00,Completed
685abfcf0f1531c3d1c75158,S00100,FL00034,Security Check,2023-02-11T04:00:00,Cancelled
685abfcf0f1531c3d1c75159,S00101,FL00034,Baggage Handling,2023-02-11T02:00:00,In Progress
685abfcf0f1531c3d1c7515a,S00102,FL00034,Boarding,2023-02-11T04:00:00,Completed
685abfcf0f1531c3d1c7515b,S00103,FL00035,Security Check,2023-04-11T11:00:00,In Progress
685abfcf0f1531c3d1c7515c,S00104,FL00035,Baggage Handling,2023-04-11T11:00:00,Completed
685abfcf0f1531c3d1c7515d,S00105,FL00035,Boarding,2023-04-11T09:00:00,Completed
685abfcf0f1531c3d1c7515e,S00106,FL00036,Security Check,2023-08-11T02:00:00,Completed
685abfcf0f1531c3d1c7515f,S00107,FL00036,Baggage Handling,2023-08-11T03:00:00,Completed
685abfcf0f1531c3d1c75160,S00108,FL00036,Boarding,2023-08-11T01:00:00,In Progress
685abfcf0f1531c3d1c75161,S00109,FL00037,Security Check,2023-02-21T20:00:00,Cancelled
685abfcf0f1531c3d1c75162,S00110,FL00037,Baggage Handling,2023-02-21T18:00:00,Completed
685abfcf0f1531c3d1c75163,S00111,FL00037,Boarding,2023-02-21T21:00:00,Completed
685abfcf0f1531c3d1c75164,S00112,FL00038,Security Check,2023-01-06T01:00:00,Cancelled
685abfcf0f1531c3d1c75165,S00113,FL00038,Baggage Handling,2023-01-06T02:00:00,Completed
685abfcf0f1531c3d1c75166,S00114,FL00038,Boarding,2023-01-06T04:00:00,Cancelled
685abfcf0f1531c3d1c75167,S00115,FL00039,Security Check,2023-10-05T21:00:00,In Progress
685abfcf0f1531c3d1c75168,S00116,FL00039,Baggage Handling,2023-10-06T00:00:00,Completed
685abfcf0f1531c3d1c75169,S00117,FL00039,Boarding,2023-10-05T23:00:00,In Progress
685abfcf0f1531c3d1c7516a,S00118,FL00040,Security Check,2023-03-24T03:00:00,Completed
685abfcf0f1531c3d1c7516b,S00119,FL00040,Baggage Handling,2023-03-24T04:00:00,Completed
685abfcf0f1531c3d1c7516c,S00120,FL00040,Boarding,2023-03-24T03:00:00,Completed
685abfcf0f1531c3d1c7516d,S00121,FL00041,Security Check,2023-06-30T17:00:00,Completed
685abfcf0f1531c3d1c7516e,S00122,FL00041,Baggage Handling,2023-06-30T17:00:00,Cancelled
685abfcf0f1531c3d1c7516f,S00123,FL00041,Boarding,2023-06-30T19:00:00,In Progress
685abfcf0f1531c3d1c75170,S00124,FL00042,Security Check,2023-08-14T05:00:00,Completed
685abfcf0f1531c3d1c75171,S00125,FL00042,Baggage Handling,2023-08-14T08:00:00,Cancelled
685abfcf0f1531c3d1c75172,S00126,FL00042,Boarding,2023-08-14T07:00:00,In Progress
685abfcf0f1531c3d1c75173,S00127,FL00043,Security Check,2023-01-08T01:00:00,Completed
685abfcf0f1531c3d1c75174,S00128,FL00043,Baggage Handling,2023-01-07T23:00:00,Completed
685abfcf0f1531c3d1c75175,S00129,FL00043,Boarding,2023-01-08T02:00:00,Cancelled
685abfcf0f1531c3d1c75176,S00130,FL00044,Security Check,2023-01-28T11:00:00,Cancelled
685abfcf0f1531c3d1c75177,S00131,FL00044,Baggage Handling,2023-01-28T13:00:00,In Progress
685abfcf0f1531c3d1c75178,S00132,FL00044,Boarding,2023-01-28T11:00:00,Cancelled
685abfcf0f1531c3d1c75179,S00133,FL00045,Security Check,2023-09-21T12:00:00,In Progress
685abfcf0f1531c3d1c7517a,S00134,FL00045,Baggage Handling,2023-09-21T10:00:00,Cancelled
685abfcf0f1531c3d1c7517b,S00135,FL00045,Boarding,2023-09-21T10:00:00,Completed
685abfcf0f1531c3d1c7517c,S00136,FL00046,Security Check,2023-01-04T08:00:00,Cancelled
685abfcf0f1531c3d1c7517d,S00137,FL00046,Baggage Handling,2023-01-04T09:00:00,Cancelled
685abfcf0f1531c3d1c7517e,S00138,FL00046,Boarding,2023-01-04T09:00:00,Completed
685abfcf0f1531c3d1c7517f,S00139,FL00047,Security Check,2023-08-12T23:00:00,Cancelled
685abfcf0f1531c3d1c75180,S00140,FL00047,Baggage Handling,2023-08-12T22:00:00,Completed
685abfcf0f1531c3d1c75181,S00141,FL00047,Boarding,2023-08-12T21:00:00,Cancelled
685abfcf0f1531c3d1c75182,S00142,FL00048,Security Check,2023-07-24T08:00:00,Cancelled
685abfcf0f1531c3d1c75183,S00143,FL00048,Baggage Handling,2023-07-24T10:00:00,Completed
685abfcf0f1531c3d1c75184,S00144,FL00048,Boarding,2023-07-24T08:00:00,In Progress
685abfcf0f1531c3d1c75185,S00145,FL00049,Security Check,2023-03-22T00:00:00,Completed
685abfcf0f1531c3d1c75186,S00146,FL00049,Baggage Handling,2023-03-22T01:00:00,Cancelled
685abfcf0f1531c3d1c75187,S00147,FL00049,Boarding,2023-03-21T23:00:00,In Progress
685abfcf0f1531c3d1c75188,S00148,FL00050,Security Check,2023-01-22T13:00:00,Completed
685abfcf0f1531c3d1c75189,S00149,FL00050,Baggage Handling,2023-01-22T14:00:00,Cancelled
685abfcf0f1531c3d1c7518a,S00150,FL00050,Boarding,2023-01-22T13:00:00,Completed
685abfcf0f1531c3d1c7518b,S00151,FL00051,Security Check,2023-10-23T09:00:00,Cancelled
685abfcf0f1531c3d1c7518c,S00152,FL00051,Baggage Handling,2023-10-23T10:00:00,Completed
685abfcf0f1531c3d1c7518d,S00153,FL00051,Boarding,2023-10-23T11:00:00,In Progress
685abfcf0f1531c3d1c7518e,S00154,FL00052,Security Check,2023-06-15T09:00:00,Cancelled
685abfcf0f1531c3d1c7518f,S00155,FL00052,Baggage Handling,2023-06-15T11:00:00,In Progress
685abfcf0f1531c3d1c75190,S00156,FL00052,Boarding,2023-06-15T11:00:00,In Progress
685abfcf0f1531c3d1c75191,S00157,FL00053,Security Check,2023-06-12T08:00:00,Completed
685abfcf0f1531c3d1c75192,S00158,FL00053,Baggage Handling,2023-06-12T07:00:00,Completed
685abfcf0f1531c3d1c75193,S00159,FL00053,Boarding,2023-06-12T06:00:00,In Progress
685abfcf0f1531c3d1c75194,S00160,FL00054,Security Check,2023-03-10T05:00:00,Completed
685abfcf0f1531c3d1c75195,S00161,FL00054,Baggage Handling,2023-03-10T04:00:00,Completed
685abfcf0f1531c3d1c75196,S00162,FL00054,Boarding,2023-03-10T04:00:00,Cancelled
685abfcf0f1531c3d1c75197,S00163,FL00055,Security Check,2023-05-18T04:00:00,Cancelled
685abfcf0f1531c3d1c75198,S00164,FL00055,Baggage Handling,2023-05-18T03:00:00,In Progress
685abfcf0f1531c3d1c75199,S00165,FL00055,Boarding,2023-05-18T02:00:00,Cancelled
685abfcf0f1531c3d1c7519a,S00166,FL00056,Security Check,2023-12-23T13:00:00,Completed
685abfcf0f1531c3d1c7519b,S00167,FL00056,Baggage Handling,2023-12-23T12:00:00,Completed
685abfcf0f1531c3d1c7519c,S00168,FL00056,Boarding,2023-12-23T13:00:00,Completed
685abfcf0f1531c3d1c7519d,S00169,FL00057,Security Check,2023-12-13T13:00:00,Completed
685abfcf0f1531c3d1c7519e,S00170,FL00057,Baggage Handling,2023-12-13T12:00:00,Cancelled
685abfcf0f1531c3d1c7519f,S00171,FL00057,Boarding,2023-12-13T12:00:00,In Progress
685abfcf0f1531c3d1c751a0,S00172,FL00058,Security Check,2023-02-17T03:00:00,In Progress
685abfcf0f1531c3d1c751a1,S00173,FL00058,Baggage Handling,2023-02-17T00:00:00,In Progress
685abfcf0f1531c3d1c751a2,S00174,FL00058,Boarding,2023-02-17T01:00:00,Cancelled
685abfcf0f1531c3d1c751a3,S00175,FL00059,Security Check,2023-10-04T19:00:00,In Progress
685abfcf0f1531c3d1c751a4,S00176,FL00059,Baggage Handling,2023-10-04T19:00:00,Cancelled
685abfcf0f1531c3d1c751a5,S00177,FL00059,Boarding,2023-10-04T18:00:00,Cancelled
685abfcf0f1531c3d1c751a6,S00178,FL00060,Security Check,2023-03-09T13:00:00,Completed
685abfcf0f1531c3d1c751a7,S00179,FL00060,Baggage Handling,2023-03-09T10:00:00,Completed
685abfcf0f1531c3d1c751a8,S00180,FL00060,Boarding,2023-03-09T12:00:00,In Progress
685abfcf0f1531c3d1c751a9,S00181,FL00061,Security Check,2023-11-10T08:00:00,Cancelled
685abfcf0f1531c3d1c751aa,S00182,FL00061,Baggage Handling,2023-11-10T08:00:00,In Progress
685abfcf0f1531c3d1c751ab,S00183,FL00061,Boarding,2023-11-10T07:00:00,Cancelled
685abfcf0f1531c3d1c751ac,S00184,FL00062,Security Check,2023-11-02T22:00:00,In Progress
685abfcf0f1531c3d1c751ad,S00185,FL00062,Baggage Handling,2023-11-02T20:00:00,Cancelled
685abfcf0f1531c3d1c751ae,S00186,FL00062,Boarding,2023-11-02T20:00:00,In Progress
685abfcf0f1531c3d1c751af,S00187,FL00063,Security Check,2023-03-14T15:00:00,In Progress
685abfcf0f1531c3d1c751b0,S00188,FL00063,Baggage Handling,2023-03-14T14:00:00,Cancelled
685abfcf0f1531c3d1c751b1,S00189,FL00063,Boarding,2023-03-14T16:00:00,Cancelled
685abfcf0f1531c3d1c751b2,S00190,FL00064,Security Check,2023-05-28T07:00:00,Cancelled
685abfcf0f1531c3d1c751b3,S00191,FL00064,Baggage Handling,2023-05-28T08:00:00,Cancelled
685abfcf0f1531c3d1c751b4,S00192,FL00064,Boarding,2023-05-28T07:00:00,Completed
685abfcf0f1531c3d1c751b5,S00193,FL00065,Security Check,2023-05-03T23:00:00,Cancelled
685abfcf0f1531c3d1c751b6,S00194,FL00065,Baggage Handling,2023-05-03T23:00:00,Cancelled
685abfcf0f1531c3d1c751b7,S00195,FL00065,Boarding,2023-05-04T01:00:00,Completed
685abfcf0f1531c3d1c751b8,S00196,FL00066,Security Check,2023-04-06T21:00:00,Cancelled
685abfcf0f1531c3d1c751b9,S00197,FL00066,Baggage Handling,2023-04-06T21:00:00,Completed
685abfcf0f1531c3d1c751ba,S00198,FL00066,Boarding,2023-04-06T19:00:00,Completed
685abfcf0f1531c3d1c751bb,S00199,FL00067,Security Check,2023-01-05T00:00:00,Completed
685abfcf0f1531c3d1c751bc,S00200,FL00067,Baggage Handling,2023-01-04T22:00:00,Completed
685abfcf0f1531c3d1c751bd,S00201,FL00067,Boarding,2023-01-04T22:00:00,Completed
685abfcf0f1531c3d1c751be,S00202,FL00068,Security Check,2023-11-13T22:00:00,Cancelled
685abfcf0f1531c3d1c751bf,S00203,FL00068,Baggage Handling,2023-11-13T23:00:00,Completed
685abfcf0f1531c3d1c751c0,S00204,FL00068,Boarding,2023-11-13T22:00:00,Cancelled
685abfcf0f1531c3d1c751c1,S00205,FL00069,Security Check,2023-03-17T22:00:00,Cancelled
685abfcf0f1531c3d1c751c2,S00206,FL00069,Baggage Handling,2023-03-18T00:00:00,Completed
685abfcf0f1531c3d1c751c3,S00207,FL00069,Boarding,2023-03-17T21:00:00,Cancelled
685abfcf0f1531c3d1c751c4,S00208,FL00070,Security Check,2023-08-13T11:00:00,In Progress
685abfcf0f1531c3d1c751c5,S00209,FL00070,Baggage Handling,2023-08-13T10:00:00,In Progress
685abfcf0f1531c3d1c751c6,S00210,FL00070,Boarding,2023-08-13T13:00:00,Cancelled
685abfcf0f1531c3d1c751c7,S00211,FL00071,Security Check,2023-11-11T07:00:00,In Progress
685abfcf0f1531c3d1c751c8,S00212,FL00071,Baggage Handling,2023-11-11T08:00:00,Cancelled
685abfcf0f1531c3d1c751c9,S00213,FL00071,Boarding,2023-11-11T05:00:00,In Progress
685abfcf0f1531c3d1c751ca,S00214,FL00072,Security Check,2023-06-30T15:00:00,Completed
685abfcf0f1531c3d1c751cb,S00215,FL00072,Baggage Handling,2023-06-30T13:00:00,Cancelled
685abfcf0f1531c3d1c751cc,S00216,FL00072,Boarding,2023-06-30T12:00:00,Cancelled
685abfcf0f1531c3d1c751cd,S00217,FL00073,Security Check,2023-12-07T14:00:00,In Progress
685abfcf0f1531c3d1c751ce,S00218,FL00073,Baggage Handling,2023-12-07T17:00:00,Completed
685abfcf0f1531c3d1c751cf,S00219,FL00073,Boarding,2023-12-07T17:00:00,Cancelled
685abfcf0f1531c3d1c751d0,S00220,FL00074,Security Check,2023-12-29T03:00:00,Completed
685abfcf0f1531c3d1c751d1,S00221,FL00074,Baggage Handling,2023-12-29T05:00:00,In Progress
685abfcf0f1531c3d1c751d2,S00222,FL00074,Boarding,2023-12-29T06:00:00,Completed
685abfcf0f1531c3d1c751d3,S00223,FL00075,Security Check,2023-03-24T18:00:00,Completed
685abfcf0f1531c3d1c751d4,S00224,FL00075,Baggage Handling,2023-03-24T17:00:00,Completed
685abfcf0f1531c3d1c751d5,S00225,FL00075,Boarding,2023-03-24T15:00:00,Completed
685abfcf0f1531c3d1c751d6,S00226,FL00076,Security Check,2023-08-26T08:00:00,Cancelled
685abfcf0f1531c3d1c751d7,S00227,FL00076,Baggage Handling,2023-08-26T06:00:00,Cancelled
685abfcf0f1531c3d1c751d8,S00228,FL00076,Boarding,2023-08-26T08:00:00,Cancelled
685abfcf0f1531c3d1c751d9,S00229,FL00077,Security Check,2023-02-23T01:00:00,Cancelled
685abfcf0f1531c3d1c751da,S00230,FL00077,Baggage Handling,2023-02-23T04:00:00,Completed
685abfcf0f1531c3d1c751db,S00231,FL00077,Boarding,2023-02-23T03:00:00,Cancelled
685abfcf0f1531c3d1c751dc,S00232,FL00078,Security Check,2023-12-26T04:00:00,In Progress
685abfcf0f1531c3d1c751dd,S00233,FL00078,Baggage Handling,2023-12-26T02:00:00,In Progress
685abfcf0f1531c3d1c751de,S00234,FL00078,Boarding,2023-12-26T04:00:00,Cancelled
685abfcf0f1531c3d1c751df,S00235,FL00079,Security Check,2023-03-18T09:00:00,In Progress
685abfcf0f1531c3d1c751e0,S00236,FL00079,Baggage Handling,2023-03-18T09:00:00,Completed
685abfcf0f1531c3d1c751e1,S00237,FL00079,Boarding,2023-03-18T09:00:00,Cancelled
685abfcf0f1531c3d1c751e2,S00238,FL00080,Security Check,2023-04-12T08:00:00,Cancelled
685abfcf0f1531c3d1c751e3,S00239,FL00080,Baggage Handling,2023-04-12T06:00:00,In Progress
685abfcf0f1531c3d1c751e4,S00240,FL00080,Boarding,2023-04-12T09:00:00,Completed
685abfcf0f1531c3d1c751e5,S00241,FL00081,Security Check,2023-09-22T00:00:00,Cancelled
685abfcf0f1531c3d1c751e6,S00242,FL00081,Baggage Handling,2023-09-21T22:00:00,Completed
685abfcf0f1531c3d1c751e7,S00243,FL00081,Boarding,2023-09-21T21:00:00,Cancelled
685abfcf0f1531c3d1c751e8,S00244,FL00082,Security Check,2023-10-13T01:00:00,Completed
685abfcf0f1531c3d1c751e9,S00245,FL00082,Baggage Handling,2023-10-12T23:00:00,Cancelled
685abfcf0f1531c3d1c751ea,S00246,FL00082,Boarding,2023-10-13T00:00:00,In Progress
685abfcf0f1531c3d1c751eb,S00247,FL00083,Security Check,2023-05-10T20:00:00,Cancelled
685abfcf0f1531c3d1c751ec,S00248,FL00083,Baggage Handling,2023-05-10T20:00:00,In Progress
685abfcf0f1531c3d1c751ed,S00249,FL00083,Boarding,2023-05-10T17:00:00,In Progress
685abfcf0f1531c3d1c751ee,S00250,FL00084,Security Check,2023-03-01T08:00:00,Cancelled
685abfcf0f1531c3d1c751ef,S00251,FL00084,Baggage Handling,2023-03-01T09:00:00,Completed
685abfcf0f1531c3d1c751f0,S00252,FL00084,Boarding,2023-03-01T08:00:00,Cancelled
685abfcf0f1531c3d1c751f1,S00253,FL00085,Security Check,2023-11-25T10:00:00,Cancelled
685abfcf0f1531c3d1c751f2,S00254,FL00085,Baggage Handling,2023-11-25T09:00:00,Completed
685abfcf0f1531c3d1c751f3,S00255,FL00085,Boarding,2023-11-25T11:00:00,In Progress
685abfcf0f1531c3d1c751f4,S00256,FL00086,Security Check,2023-08-09T03:00:00,In Progress
685abfcf0f1531c3d1c751f5,S00257,FL00086,Baggage Handling,2023-08-09T03:00:00,Completed
685abfcf0f1531c3d1c751f6,S00258,FL00086,Boarding,2023-08-09T01:00:00,Completed
685abfcf0f1531c3d1c751f7,S00259,FL00087,Security Check,2023-04-18T17:00:00,Completed
685abfcf0f1531c3d1c751f8,S00260,FL00087,Baggage Handling,2023-04-18T16:00:00,In Progress
685abfcf0f1531c3d1c751f9,S00261,FL00087,Boarding,2023-04-18T17:00:00,Completed
685abfcf0f1531c3d1c751fa,S00262,FL00088,Security Check,2023-04-06T10:00:00,In Progress
685abfcf0f1531c3d1c751fb,S00263,FL00088,Baggage Handling,2023-04-06T12:00:00,Cancelled
685abfcf0f1531c3d1c751fc,S00264,FL00088,Boarding,2023-04-06T11:00:00,In Progress
685abfcf0f1531c3d1c751fd,S00265,FL00089,Security Check,2023-01-15T13:00:00,Cancelled
685abfcf0f1531c3d1c751fe,S00266,FL00089,Baggage Handling,2023-01-15T15:00:00,Completed
685abfcf0f1531c3d1c751ff,S00267,FL00089,Boarding,2023-01-15T15:00:00,Cancelled
685abfcf0f1531c3d1c75200,S00268,FL00090,Security Check,2023-09-21T01:00:00,In Progress
685abfcf0f1531c3d1c75201,S00269,FL00090,Baggage Handling,2023-09-21T00:00:00,Completed
685abfcf0f1531c3d1c75202,S00270,FL00090,Boarding,2023-09-20T22:00:00,Cancelled
685abfcf0f1531c3d1c75203,S00271,FL00091,Security Check,2023-03-04T07:00:00,Completed
685abfcf0f1531c3d1c75204,S00272,FL00091,Baggage Handling,2023-03-04T07:00:00,In Progress
685abfcf0f1531c3d1c75205,S00273,FL00091,Boarding,2023-03-04T08:00:00,Cancelled
685abfcf0f1531c3d1c75206,S00274,FL00092,Security Check,2023-11-14T07:00:00,Cancelled
685abfcf0f1531c3d1c75207,S00275,FL00092,Baggage Handling,2023-11-14T09:00:00,Cancelled
685abfcf0f1531c3d1c75208,S00276,FL00092,Boarding,2023-11-14T07:00:00,Cancelled
