_id,passenger_id,flight_id,booking_date,class,price,seat_number,airline,luggage_weight,checkin_time,payment_method,booking_channel,frequent_flyer,arrival_airport,destination_country,destination_zone,meal_preference
685abfd60f1531c3d1c7686f,P00005,FL01080,2023-05-31,Economy,110.77,2C,United Airlines,30.7,2023-07-02T09:25:40.035350,Bank Transfer,Website,Platinum,YUL,Canada,North America,Standard
685abfd60f1531c3d1c76870,P00005,FL00734,2023-03-14,Economy,147.81,27B,British Airways,12.6,2023-04-09T08:59:38.851642,PayPal,Call Center,Gold,FRA,Germany,Europe,Standard
685abfd60f1531c3d1c76871,P00006,FL01343,2023-06-23,Economy,154.88,18A,Qatar Airways,4.8,2023-07-16T03:13:38.136785,Credit Card,Travel Agency,NaN,BKK,Thailand,Asia,Kosher
685abfd60f1531c3d1c76872,P00006,FL00354,2023-08-20,Premium Economy,383.5,6C,Qatar Airways,1.6,2023-09-18T23:35:22.398997,PayPal,Travel Agency,Silver,SFO,United States,North America,Kosher
685abfd60f1531c3d1c76873,P00007,FL00873,2022-12-19,First,1107.01,11B,British Airways,10.7,2023-01-17T12:01:59.172053,Google Pay,Travel Agency,NaN,FRA,Germany,Europe,Vegetarian
685abfd60f1531c3d1c76874,P00007,FL01310,2022-12-18,Economy,134.81,28F,British Airways,17.3,2023-02-07T10:43:12.160735,PayPal,Travel Agency,Gold,AMS,Netherlands,Europe,Vegetarian
685abfd60f1531c3d1c76875,P00007,FL00059,2023-08-23,Economy,242.96,40F,United Airlines,4.5,2023-10-04T17:42:15.941510,Apple Pay,Website,NaN,DXB,United Arab Emirates,Middle East,Vegetarian
685abfd60f1531c3d1c76876,P00007,FL01360,2023-06-12,Economy,163.65,28B,Qatar Airways,2.5,2023-08-07T00:20:26.126497,Apple Pay,Travel Agency,NaN,DXB,United Arab Emirates,Middle East,Vegetarian
685abfd60f1531c3d1c76877,P00008,FL01765,2023-07-18,Economy,156.77,2A,United Airlines,0.9,2023-07-29T09:36:25.998958,Bank Transfer,Mobile App,Silver,JNB,South Africa,Africa,Diabetic
685abfd60f1531c3d1c76878,P00008,FL01577,2023-05-18,Premium Economy,331.01,59A,United Airlines,23.3,2023-06-25T11:03:07.094873,Google Pay,Website,NaN,YUL,Canada,North America,Diabetic
685abfd60f1531c3d1c76879,P00008,FL00847,2023-04-27,First,856.67,28D,Emirates,18.7,2023-05-25T04:09:35.084687,Apple Pay,Mobile App,NaN,BKK,Thailand,Asia,Diabetic
685abfd60f1531c3d1c7687a,P00009,FL01086,2023-02-27,Economy,115.62,20E,Singapore Airlines,8.2,2023-04-09T18:31:40.365845,PayPal,Call Center,NaN,MEX,Mexico,North America,Kosher
685abfd60f1531c3d1c7687b,P00009,FL00985,2022-12-18,Economy,113.42,53C,Singapore Airlines,6.9,2023-01-13T14:27:08.810524,Apple Pay,Website,NaN,SFO,United States,North America,Kosher
685abfd60f1531c3d1c7687c,P00010,FL00454,2023-06-06,Economy,209.09,13A,KLM,9.3,2023-07-15T23:06:46.522389,PayPal,Travel Agency,Gold,DXB,United Arab Emirates,Middle East,Vegan
685abfd60f1531c3d1c7687d,P00011,FL01595,2023-11-01,Premium Economy,322.03,43A,KLM,26.9,2023-11-24T19:18:21.549008,Bank Transfer,Mobile App,Silver,SFO,United States,North America,Gluten-Free
685abfd60f1531c3d1c7687e,P00012,FL00042,2023-08-01,Economy,161.06,20D,Emirates,7.5,2023-08-14T05:33:58.573340,Apple Pay,Call Center,NaN,YUL,Canada,North America,Standard
685abfd60f1531c3d1c7687f,P00012,FL01618,2023-03-26,Economy,226.62,57D,KLM,18,2023-05-23T12:30:35.291561,Google Pay,Call Center,NaN,DXB,United Arab Emirates,Middle East,Standard
685abfd60f1531c3d1c76880,P00012,FL00260,2023-05-10,Economy,164.2,10D,United Airlines,29.9,2023-06-13T11:10:53.055886,Google Pay,Call Center,NaN,BKK,Thailand,Asia,Standard
685abfd60f1531c3d1c76881,P00012,FL00708,2023-10-02,Business,685.18,45C,Air France,19.9,2023-10-07T08:44:39.010128,Credit Card,Travel Agency,Gold,NRT,Japan,Asia,Standard
685abfd60f1531c3d1c76882,P00013,FL01569,2023-03-16,Premium Economy,322.7,53E,British Airways,19.8,2023-04-01T22:03:04.780344,Apple Pay,Mobile App,Silver,MEX,Mexico,North America,Standard
685abfd60f1531c3d1c76883,P00013,FL00602,2023-11-25,Economy,234.9,12F,Emirates,30.7,2023-12-28T15:19:06.165531,Apple Pay,Travel Agency,NaN,ZRH,Switzerland,Europe,Standard
685abfd60f1531c3d1c76884,P00013,FL01419,2023-07-06,Business,805.86,3C,Qatar Airways,12.6,2023-07-22T15:35:00.722279,Google Pay,Travel Agency,NaN,LAX,United States,North America,Standard
685abfd60f1531c3d1c76885,P00014,FL01457,2023-02-23,Business,647.84,13C,Qatar Airways,28.7,2023-03-16T12:19:30.532074,Credit Card,Call Center,NaN,DEL,India,Asia,Vegan
685abfd60f1531c3d1c76886,P00014,FL01638,2023-02-07,Economy,156.45,50A,Qatar Airways,29.5,2023-03-20T04:21:26.507606,Credit Card,Mobile App,Silver,ZRH,Switzerland,Europe,Vegan
685abfd60f1531c3d1c76887,P00014,FL00481,2023-02-24,Economy,91.61,25E,United Airlines,12.9,2023-04-07T13:38:25.086917,Bank Transfer,Call Center,NaN,DXB,United Arab Emirates,Middle East,Vegan
685abfd60f1531c3d1c76888,P00014,FL00926,2023-11-06,Economy,93.87,9B,KLM,0.3,2023-11-11T01:50:09.914015,Credit Card,Travel Agency,Silver,BOM,India,Asia,Vegan
685abfd60f1531c3d1c76889,P00015,FL01057,2023-11-11,Economy,91.62,39D,KLM,23.2,2023-11-21T11:51:32.259600,Google Pay,Website,NaN,DXB,United Arab Emirates,Middle East,Diabetic
685abfd60f1531c3d1c7688a,P00016,FL01181,2023-04-17,Business,555.65,46E,Emirates,18.5,2023-05-17T17:38:09.556035,Apple Pay,Travel Agency,Platinum,BOM,India,Asia,Halal
685abfd60f1531c3d1c7688b,P00016,FL01658,2023-06-07,Premium Economy,344.07,17A,KLM,28.2,2023-07-26T16:25:32.369424,Credit Card,Call Center,Silver,ZRH,Switzerland,Europe,Halal
685abfd60f1531c3d1c7688c,P00017,FL01862,2023-06-14,Economy,145.03,42D,Lufthansa,27.9,2023-06-29T00:33:34.085705,PayPal,Travel Agency,NaN,ZRH,Switzerland,Europe,Lactose-Free
685abfd60f1531c3d1c7688d,P00017,FL00426,2023-08-29,Premium Economy,201.52,45F,Air France,31.5,2023-10-26T05:41:58.491256,Apple Pay,Call Center,NaN,DXB,United Arab Emirates,Middle East,Lactose-Free
685abfd60f1531c3d1c7688e,P00017,FL01584,2023-10-12,Economy,135.56,49B,KLM,3.1,2023-10-20T01:22:46.254762,Bank Transfer,Website,Silver,JFK,United States,North America,Lactose-Free
685abfd60f1531c3d1c7688f,P00017,FL00895,2023-02-15,First,814.2,8E,KLM,19.7,2023-03-17T02:05:42.596190,PayPal,Call Center,NaN,YUL,Canada,North America,Lactose-Free
685abfd60f1531c3d1c76890,P00018,FL00299,2023-05-10,Economy,247.08,8B,Qatar Airways,29.7,2023-05-21T08:24:26.358236,Apple Pay,Travel Agency,Silver,DXB,United Arab Emirates,Middle East,Vegan
685abfd60f1531c3d1c76891,P00019,FL01018,2023-10-07,Premium Economy,365.01,38C,Air France,7.5,2023-12-04T11:13:54.383313,Apple Pay,Travel Agency,NaN,PEK,China,Asia,Halal
685abfd60f1531c3d1c76892,P00019,FL00199,2023-03-04,Economy,154.3,23E,United Airlines,15.1,2023-03-22T12:59:12.328312,PayPal,Call Center,Silver,JNB,South Africa,Africa,Halal
685abfd60f1531c3d1c76893,P00019,FL01792,2022-12-05,Premium Economy,367.69,12E,Qatar Airways,17.1,2023-01-10T21:03:49.328441,Apple Pay,Mobile App,NaN,SFO,United States,North America,Halal
685abfd60f1531c3d1c76894,P00020,FL00287,2023-08-22,Economy,104.9,41D,KLM,2.2,2023-10-06T13:50:42.344691,Google Pay,Call Center,NaN,JFK,United States,North America,Kosher
685abfd60f1531c3d1c76895,P00021,FL01475,2022-11-22,Economy,184.99,60D,KLM,32,2023-01-15T03:55:42.021657,PayPal,Call Center,Gold,AMS,Netherlands,Europe,Lactose-Free
685abfd60f1531c3d1c76896,P00022,FL00949,2023-03-02,Economy,166.91,51F,Singapore Airlines,21.1,2023-03-12T10:41:53.618408,Google Pay,Call Center,NaN,JNB,South Africa,Africa,Vegetarian
685abfd60f1531c3d1c76897,P00023,FL01623,2023-10-05,Economy,159.15,32E,United Airlines,16.2,2023-10-21T03:13:14.240545,Apple Pay,Travel Agency,Gold,BKK,Thailand,Asia,Kosher
685abfd60f1531c3d1c76898,P00023,FL00949,2023-02-17,Economy,212.39,23E,Singapore Airlines,27.7,2023-03-12T11:56:37.613680,Google Pay,Travel Agency,Silver,JNB,South Africa,Africa,Kosher
685abfd60f1531c3d1c76899,P00023,FL00118,2023-10-29,Economy,157,49E,Air France,20.4,2023-11-22T11:42:57.544942,Google Pay,Mobile App,Silver,MAD,Spain,Europe,Kosher
685abfd60f1531c3d1c7689a,P00024,FL00096,2023-06-17,First,1631.61,44E,Singapore Airlines,22.3,2023-06-28T03:47:38.640981,Google Pay,Mobile App,Silver,SFO,United States,North America,Vegetarian
685abfd60f1531c3d1c7689b,P00024,FL01056,2023-10-26,Business,530.46,31B,Lufthansa,6.3,2023-12-09T01:01:10.459982,Google Pay,Travel Agency,Gold,MAD,Spain,Europe,Vegetarian
685abfd60f1531c3d1c7689c,P00025,FL00024,2022-12-13,Economy,183.93,36A,British Airways,14.8,2023-01-17T04:11:18.918019,Bank Transfer,Website,NaN,DXB,United Arab Emirates,Middle East,Kosher
685abfd60f1531c3d1c7689d,P00026,FL00942,2023-11-14,Economy,91.24,17A,KLM,8.4,2023-11-25T09:17:35.551354,Credit Card,Mobile App,NaN,ICN,South Korea,Asia,Diabetic
685abfd60f1531c3d1c7689e,P00026,FL00483,2023-09-19,Premium Economy,262.35,3F,KLM,10.5,2023-10-02T04:38:45.439671,Credit Card,Website,Silver,BOM,India,Asia,Diabetic
685abfd60f1531c3d1c7689f,P00026,FL00777,2023-09-23,Economy,167.93,37C,United Airlines,14.9,2023-10-14T04:39:49.682781,Apple Pay,Travel Agency,NaN,DXB,United Arab Emirates,Middle East,Diabetic
685abfd60f1531c3d1c768a0,P00026,FL01481,2023-03-29,Premium Economy,262.59,51D,United Airlines,6.4,2023-05-17T23:27:50.392436,Credit Card,Website,NaN,JFK,United States,North America,Diabetic
685abfd60f1531c3d1c768a1,P00027,FL00026,2022-12-20,Economy,139.48,15F,British Airways,1.2,2023-02-04T12:25:02.341077,Google Pay,Call Center,NaN,DXB,United Arab Emirates,Middle East,Vegan
685abfd60f1531c3d1c768a2,P00028,FL00342,2023-06-06,Business,440.32,58D,Lufthansa,17.4,2023-06-23T20:53:17.373265,PayPal,Call Center,Gold,SFO,United States,North America,Vegan
685abfd60f1531c3d1c768a3,P00028,FL00560,2023-05-13,Premium Economy,420.09,60A,Lufthansa,28.8,2023-06-05T04:15:05.364031,PayPal,Call Center,Gold,LIS,Portugal,Europe,Vegan
685abfd60f1531c3d1c768a4,P00029,FL01610,2023-05-05,Business,642.51,2A,British Airways,31,2023-05-12T08:41:59.624350,Apple Pay,Call Center,NaN,JFK,United States,North America,Vegan
685abfd60f1531c3d1c768a5,P00030,FL01317,2023-06-21,Business,479.33,38C,KLM,15.9,2023-08-14T15:45:43.513802,Apple Pay,Website,NaN,SFO,United States,North America,Vegan
685abfd60f1531c3d1c768a6,P00030,FL00197,2023-09-12,Economy,240.28,26C,United Airlines,19.6,2023-10-06T19:47:23.593622,Credit Card,Mobile App,Silver,BOM,India,Asia,Vegan
685abfd60f1531c3d1c768a7,P00030,FL01070,2023-05-06,Economy,131.22,58F,KLM,0.6,2023-06-25T09:00:57.741544,Credit Card,Call Center,Silver,LAX,United States,North America,Vegan
685abfd60f1531c3d1c768a8,P00031,FL00477,2023-01-21,Business,819.68,56A,Lufthansa,17.3,2023-02-25T23:16:16.709044,Google Pay,Website,NaN,HND,Japan,Asia,Lactose-Free
685abfd60f1531c3d1c768a9,P00031,FL00017,2022-11-24,Business,541.88,38E,Emirates,2.3,2023-01-14T17:21:52.741415,Apple Pay,Call Center,NaN,YUL,Canada,North America,Lactose-Free
685abfd60f1531c3d1c768aa,P00031,FL01607,2023-10-07,Premium Economy,413.59,18A,Qatar Airways,14.9,2023-11-15T20:16:56.994131,Credit Card,Website,Silver,JFK,United States,North America,Lactose-Free
685abfd60f1531c3d1c768ab,P00032,FL00392,2023-02-09,Economy,118.42,28E,Singapore Airlines,20.7,2023-03-21T13:16:15.845529,Credit Card,Call Center,Silver,SFO,United States,North America,Halal
685abfd60f1531c3d1c768ac,P00032,FL01759,2023-01-08,Economy,208.54,35A,Air France,28.4,2023-02-18T13:03:52.032871,Credit Card,Mobile App,NaN,BOM,India,Asia,Halal
685abfd60f1531c3d1c768ad,P00033,FL01247,2022-12-06,Premium Economy,226.24,38B,Emirates,8.3,2023-01-19T20:27:51.025544,Apple Pay,Mobile App,Silver,BOM,India,Asia,Standard
685abfd60f1531c3d1c768ae,P00034,FL00572,2023-07-31,Economy,116.37,52E,British Airways,27.2,2023-09-27T22:26:50.613433,PayPal,Mobile App,NaN,DEL,India,Asia,Diabetic
685abfd60f1531c3d1c768af,P00035,FL01551,2023-04-21,Economy,215.84,34C,Singapore Airlines,31.9,2023-05-20T03:51:48.485486,Credit Card,Call Center,NaN,PEK,China,Asia,Lactose-Free
685abfd60f1531c3d1c768b0,P00035,FL00508,2023-03-05,Economy,164.89,11B,KLM,31.7,2023-04-08T15:46:58.986160,Apple Pay,Travel Agency,NaN,PEK,China,Asia,Lactose-Free
685abfd60f1531c3d1c768b1,P00036,FL00469,2023-07-04,Economy,128.37,38D,KLM,13.1,2023-07-11T20:20:51.303358,Google Pay,Mobile App,Silver,DEL,India,Asia,Vegan
685abfd60f1531c3d1c768b2,P00036,FL01809,2023-05-28,Economy,100.78,56E,Singapore Airlines,25.2,2023-07-20T15:20:06.815379,Bank Transfer,Call Center,Gold,JFK,United States,North America,Vegan
685abfd60f1531c3d1c768b3,P00036,FL01381,2023-09-14,Premium Economy,283.02,33F,British Airways,30.2,2023-09-21T23:18:50.343699,Bank Transfer,Mobile App,NaN,SFO,United States,North America,Vegan
685abfd60f1531c3d1c768b4,P00037,FL01590,2023-07-12,Economy,93.37,24E,Lufthansa,23.4,2023-08-10T09:26:43.146215,Apple Pay,Website,Platinum,LAX,United States,North America,Kosher
685abfd60f1531c3d1c768b5,P00037,FL01809,2023-05-28,First,960.72,3D,Singapore Airlines,18.7,2023-07-20T17:20:21.778610,Credit Card,Travel Agency,NaN,JFK,United States,North America,Kosher
685abfd60f1531c3d1c768b6,P00037,FL00170,2023-12-15,First,1712.69,43E,Emirates,17.8,2023-12-23T03:34:18.449631,Google Pay,Website,Platinum,LIS,Portugal,Europe,Kosher
685abfd60f1531c3d1c768b7,P00038,FL01395,2023-06-12,Economy,173.56,44D,Singapore Airlines,13,2023-06-27T18:38:43.779166,Google Pay,Call Center,NaN,ICN,South Korea,Asia,Diabetic
685abfd60f1531c3d1c768b8,P00039,FL00318,2023-10-11,Economy,218.94,43B,Qatar Airways,29.7,2023-11-02T11:40:15.316225,Google Pay,Mobile App,NaN,BKK,Thailand,Asia,Standard
685abfd60f1531c3d1c768b9,P00039,FL00342,2023-05-20,Economy,184.78,16A,Lufthansa,25.2,2023-06-23T18:43:21.295641,PayPal,Travel Agency,Silver,SFO,United States,North America,Standard
685abfd60f1531c3d1c768ba,P00040,FL00534,2023-09-19,Economy,183.37,28B,United Airlines,25.8,2023-10-15T05:17:39.820341,Bank Transfer,Travel Agency,NaN,SFO,United States,North America,Vegan
685abfd60f1531c3d1c768bb,P00040,FL00659,2023-04-15,Business,457.97,28F,British Airways,9.9,2023-04-27T05:46:34.976835,Apple Pay,Call Center,NaN,MAD,Spain,Europe,Vegan
685abfd60f1531c3d1c768bc,P00040,FL01726,2023-01-25,Economy,154.14,32D,Qatar Airways,7,2023-02-01T23:13:25.648857,Credit Card,Mobile App,Gold,AMS,Netherlands,Europe,Vegan
685abfd60f1531c3d1c768bd,P00041,FL00130,2023-10-18,Premium Economy,366.61,41C,Air France,28.3,2023-12-10T12:35:13.843963,Google Pay,Mobile App,NaN,PEK,China,Asia,Vegetarian
685abfd60f1531c3d1c768be,P00041,FL00945,2023-09-04,Economy,112.38,19B,Singapore Airlines,16.4,2023-09-17T03:53:55.040268,Apple Pay,Mobile App,Silver,YUL,Canada,North America,Vegetarian
685abfd60f1531c3d1c768bf,P00042,FL01789,2023-04-22,Business,808.66,37C,Singapore Airlines,7.5,2023-05-16T20:12:27.628193,Bank Transfer,Call Center,Silver,LAX,United States,North America,No Preference
685abfd60f1531c3d1c768c0,P00043,FL00184,2022-11-12,Premium Economy,234.87,3B,Air France,13.4,2023-01-11T04:47:43.790423,PayPal,Travel Agency,Gold,MAD,Spain,Europe,Diabetic
685abfd60f1531c3d1c768c1,P00043,FL01212,2023-01-08,First,957.77,60B,KLM,24.1,2023-02-02T02:07:16.352358,Bank Transfer,Travel Agency,Silver,YUL,Canada,North America,Diabetic
685abfd60f1531c3d1c768c2,P00044,FL01315,2023-08-16,Business,599.67,51B,Singapore Airlines,19.9,2023-09-28T03:50:23.253382,Bank Transfer,Mobile App,Silver,LIS,Portugal,Europe,Lactose-Free
685abfd60f1531c3d1c768c3,P00044,FL00898,2023-04-14,Economy,178.28,43D,Air France,26.8,2023-06-13T01:51:42.257437,Google Pay,Mobile App,Gold,HND,Japan,Asia,Lactose-Free
685abfd60f1531c3d1c768c4,P00044,FL00515,2023-03-04,Economy,90.28,47B,British Airways,4.4,2023-03-17T04:47:09.568634,PayPal,Travel Agency,NaN,JFK,United States,North America,Lactose-Free
685abfd60f1531c3d1c768c5,P00044,FL01389,2023-01-13,Economy,246.61,50C,Lufthansa,0.7,2023-02-03T10:45:30.637072,Apple Pay,Website,NaN,AMS,Netherlands,Europe,Lactose-Free
685abfd60f1531c3d1c768c6,P00045,FL01060,2023-01-22,Economy,143.46,43A,Air France,27.4,2023-02-25T06:04:52.507786,Bank Transfer,Website,Silver,JFK,United States,North America,Halal
685abfd60f1531c3d1c768c7,P00045,FL01095,2023-08-20,First,1555.71,26D,United Airlines,21.4,2023-09-27T12:41:50.473109,Apple Pay,Call Center,NaN,HND,Japan,Asia,Halal
685abfd60f1531c3d1c768c8,P00046,FL01248,2023-07-25,Economy,147.02,55D,Air France,29.9,2023-08-13T19:54:32.565601,Bank Transfer,Mobile App,NaN,HND,Japan,Asia,Kosher
685abfd60f1531c3d1c768c9,P00046,FL01334,2023-09-23,Economy,181.33,24B,United Airlines,20.3,2023-10-13T17:33:48.804870,Google Pay,Mobile App,Silver,SFO,United States,North America,Kosher
685abfd60f1531c3d1c768ca,P00047,FL01567,2023-04-07,Economy,169.05,19C,Qatar Airways,20,2023-05-06T12:06:52.430546,Credit Card,Website,Gold,DXB,United Arab Emirates,Middle East,Standard
685abfd60f1531c3d1c768cb,P00048,FL00310,2023-09-06,Economy,239.31,49D,United Airlines,3.3,2023-10-10T00:50:38.577906,Google Pay,Call Center,NaN,NRT,Japan,Asia,Halal
685abfd60f1531c3d1c768cc,P00048,FL01022,2023-04-07,Premium Economy,237.02,8F,Air France,31.6,2023-06-01T13:41:15.066487,Credit Card,Call Center,NaN,JNB,South Africa,Africa,Halal
685abfd60f1531c3d1c768cd,P00048,FL00933,2023-10-08,Business,502.01,47A,United Airlines,29.6,2023-11-30T19:41:57.629633,Google Pay,Travel Agency,NaN,JNB,South Africa,Africa,Halal
685abfd60f1531c3d1c768ce,P00049,FL01383,2023-03-27,Business,822.34,42E,Emirates,12.8,2023-05-12T15:12:22.624254,Google Pay,Travel Agency,Silver,LAX,United States,North America,Kosher
685abfd60f1531c3d1c768cf,P00049,FL00997,2023-10-30,Economy,163.22,27F,Lufthansa,14.6,2023-11-27T07:44:59.890130,Google Pay,Call Center,NaN,LAX,United States,North America,Kosher
685abfd60f1531c3d1c768d0,P00049,FL00519,2023-06-29,Economy,142.88,25D,Qatar Airways,10.6,2023-07-25T03:45:24.741102,Apple Pay,Website,Gold,ICN,South Korea,Asia,Kosher
685abfd60f1531c3d1c768d1,P00049,FL00865,2023-01-03,Premium Economy,255.87,36C,KLM,11,2023-01-27T22:31:43.358384,Bank Transfer,Website,NaN,AMS,Netherlands,Europe,Kosher
685abfd60f1531c3d1c768d2,P00050,FL01951,2023-05-11,Economy,231.42,45A,Qatar Airways,27.2,2023-06-24T00:30:55.399156,Credit Card,Mobile App,NaN,JNB,South Africa,Africa,Lactose-Free
685abfd60f1531c3d1c768d3,P00050,FL00838,2023-08-14,Premium Economy,339.07,60B,Air France,27.6,2023-09-08T05:11:39.005516,Bank Transfer,Call Center,NaN,NRT,Japan,Asia,Lactose-Free
685abfd60f1531c3d1c768d4,P00050,FL00402,2023-04-09,Economy,167.91,2E,Lufthansa,28.2,2023-04-16T20:11:28.842849,PayPal,Call Center,NaN,ZRH,Switzerland,Europe,Lactose-Free
685abfd60f1531c3d1c768d5,P00050,FL01363,2023-05-13,Business,709.67,57A,Emirates,15.9,2023-06-29T23:24:22.815498,Google Pay,Website,NaN,BOM,India,Asia,Lactose-Free
685abfd60f1531c3d1c768d6,P00051,FL00579,2023-06-09,Economy,152.65,58B,KLM,19.5,2023-07-17T17:05:51.665388,Credit Card,Mobile App,NaN,MEX,Mexico,North America,Vegetarian
685abfd60f1531c3d1c768d7,P00051,FL01167,2023-10-12,Business,631.92,3E,KLM,19.4,2023-12-11T07:22:21.268020,Google Pay,Travel Agency,NaN,DXB,United Arab Emirates,Middle East,Vegetarian
685abfd60f1531c3d1c768d8,P00051,FL01039,2023-06-30,Premium Economy,286.81,38B,KLM,10.8,2023-07-24T15:16:07.046099,Credit Card,Mobile App,Silver,JFK,United States,North America,Vegetarian
685abfd60f1531c3d1c768d9,P00051,FL01439,2023-04-10,Economy,115.76,22A,Lufthansa,25.1,2023-05-11T09:13:30.551517,Apple Pay,Call Center,Gold,DXB,United Arab Emirates,Middle East,Vegetarian
685abfd60f1531c3d1c768da,P00052,FL00949,2023-02-10,Economy,125.48,58F,Singapore Airlines,17.9,2023-03-12T11:19:34.475480,Google Pay,Travel Agency,NaN,JNB,South Africa,Africa,Halal
685abfd60f1531c3d1c768db,P00052,FL01921,2023-03-08,Economy,236.15,40C,Emirates,13.4,2023-04-28T18:25:46.343252,Apple Pay,Mobile App,Gold,SFO,United States,North America,Halal
685abfd60f1531c3d1c768dc,P00053,FL01305,2023-09-30,Premium Economy,325.08,3E,Lufthansa,6.5,2023-10-24T21:44:15.397598,Apple Pay,Website,Silver,MEX,Mexico,North America,Diabetic
685abfd60f1531c3d1c768dd,P00053,FL01081,2022-12-17,Premium Economy,215.68,11E,Qatar Airways,10.2,2023-01-11T05:49:37.702743,Bank Transfer,Call Center,NaN,SFO,United States,North America,Diabetic
685abfd60f1531c3d1c768de,P00054,FL00972,2022-11-30,Economy,121.57,19C,British Airways,30.1,2023-01-21T09:06:40.058333,PayPal,Travel Agency,NaN,LIS,Portugal,Europe,Vegetarian
685abfd60f1531c3d1c768df,P00054,FL00097,2023-07-22,Premium Economy,365.88,36C,British Airways,13.2,2023-09-03T17:50:17.018325,PayPal,Website,Platinum,LAX,United States,North America,Vegetarian
685abfd60f1531c3d1c768e0,P00055,FL01164,2023-02-15,Economy,106.8,53B,British Airways,29.7,2023-03-04T18:24:43.580073,Credit Card,Call Center,Silver,BOM,India,Asia,Standard
685abfd60f1531c3d1c768e1,P00055,FL01802,2023-02-01,Economy,109.98,60E,Emirates,12.7,2023-02-12T06:31:10.040168,Bank Transfer,Call Center,Silver,NRT,Japan,Asia,Standard
685abfd60f1531c3d1c768e2,P00055,FL01309,2023-08-27,Premium Economy,207.59,37F,United Airlines,14.9,2023-10-23T14:12:38.395816,Credit Card,Mobile App,Gold,NRT,Japan,Asia,Standard
685abfd60f1531c3d1c768e3,P00055,FL01247,2022-12-21,Economy,162.96,33B,Emirates,13,2023-01-19T21:59:17.565752,Credit Card,Mobile App,NaN,BOM,India,Asia,Standard
685abfd60f1531c3d1c768e4,P00056,FL01045,2023-06-10,Economy,108.96,17F,British Airways,20,2023-07-06T01:41:09.752259,Google Pay,Call Center,Gold,AMS,Netherlands,Europe,Vegan
685abfd60f1531c3d1c768e5,P00056,FL00916,2023-02-28,First,1581.31,44F,British Airways,4.9,2023-03-27T10:35:40.682030,Apple Pay,Mobile App,Silver,JNB,South Africa,Africa,Vegan
685abfd60f1531c3d1c768e6,P00056,FL00273,2023-08-24,Business,838.99,40B,British Airways,22.9,2023-09-02T14:39:07.463374,Credit Card,Website,Silver,HND,Japan,Asia,Vegan
685abfd60f1531c3d1c768e7,P00057,FL00622,2023-11-18,Economy,207.2,49E,Emirates,23.8,2023-11-22T21:29:11.184608,PayPal,Mobile App,NaN,CPT,South Africa,Africa,Lactose-Free
685abfd60f1531c3d1c768e8,P00057,FL01780,2023-10-14,Economy,138.54,12B,Emirates,31.7,2023-10-19T17:46:08.446780,Bank Transfer,Call Center,Silver,JFK,United States,North America,Lactose-Free
685abfd60f1531c3d1c768e9,P00058,FL01628,2023-02-02,Economy,233.71,29E,Qatar Airways,12,2023-03-15T07:53:20.589616,Credit Card,Travel Agency,NaN,BOM,India,Asia,Halal
